instanceID	label	comment	annotator
355_twist_nn	2		ChatGpt
66_quilt_nn	2		ChatGpt
69_maxim_nn	3		ChatGpt
54_lane_nn	2		ChatGpt
153_plane_nn	2		ChatGpt
233_graft_nn	3		ChatGpt
213_pick_vb	4		ChatGpt
240_grain_nn	2		ChatGpt
1423_tip_vb	1		ChatGpt
412_record_nn	2		ChatGpt
133_word_nn	2		ChatGpt
43_tree_nn	2		ChatGpt
119_edge_nn	2		ChatGpt
372_graft_nn	1		ChatGpt
107_face_nn	2		ChatGpt
102_tree_nn	2		ChatGpt
64_edge_nn	2		ChatGpt
318_head_nn	2		ChatGpt
143_attack_nn	1		ChatGpt
118_rally_nn	2		ChatGpt
82_tree_nn	2		ChatGpt
248_circle_vb	2		ChatGpt
27_tree_nn	3		ChatGpt
249_graft_nn	2		ChatGpt
80_edge_nn	3		ChatGpt
30_maxim_nn	2		ChatGpt
249_face_nn	2		ChatGpt
54_chairman_nn	3		ChatGpt
80_donkey_nn	2		ChatGpt
47_maxim_nn	2		ChatGpt
57_donkey_nn	4		ChatGpt
29_chairman_nn	3		ChatGpt
180_record_nn	2		ChatGpt
58_relationship_nn	2		ChatGpt
61_tree_nn	3		ChatGpt
25_graft_nn	2		ChatGpt
1217_tip_vb	2		ChatGpt
282_graft_nn	2		ChatGpt
365_graft_nn	2		ChatGpt
40_quilt_nn	3		ChatGpt
9_afternoon_nn	4		ChatGpt
661_ball_nn	2		ChatGpt
419_record_nn	3		ChatGpt
303_bit_nn	2		ChatGpt
208_ball_nn	1		ChatGpt
495_stab_nn	2		ChatGpt
