instanceID	dataIDs	label_set	non_label
355_twist_nn	fic_1834_7047.txt-619-19,mag_1960_246914.txt-5-27	1,2,3,4	-
66_quilt_nn	mag_2002_393038.txt-8-0,fic_1859_9037.txt-378-20	1,2,3,4	-
69_maxim_nn	mag_1823_553475.txt-129-6,fic_1835_7133.txt-1935-29	1,2,3,4	-
54_lane_nn	fic_1860_9817.txt-4328-22,fic_1849_7218.txt-3145-7	1,2,3,4	-
153_plane_nn	news_1970_728910.txt-10-20,mag_1977_490797.txt-460-80	1,2,3,4	-
233_graft_nn	news_1970_728573.txt-0-19,mag_1976_291145.txt-21-13	1,2,3,4	-
213_pick_vb	fic_1835_7134.txt-2847-8,fic_1852_69.txt-8377-30	1,2,3,4	-
240_grain_nn	nf_1986_774269.txt-1187-15,mag_1979_318026.txt-8-3	1,2,3,4	-
1423_tip_vb	fic_1840_7681.txt-2114-153,news_2004_635173.txt-48-0	1,2,3,4	-
412_record_nn	news_1997_602155.txt-31-13,mag_2006_112391.txt-44-14	1,2,3,4	-
133_word_nn	fic_1978_780101.txt-3027-21,fic_1860_9168.txt-2782-19	1,2,3,4	-
43_tree_nn	fic_1997_42230.txt-691-13,mag_1972_431829.txt-43-11	1,2,3,4	-
119_edge_nn	mag_2005_417199.txt-31-7,mag_1832_564345.txt-20-16	1,2,3,4	-
372_graft_nn	news_1962_722583.txt-15-13,nf_1858_747890.txt-606-43	1,2,3,4	-
107_face_nn	fic_2005_780525.txt-1016-9,fic_2009_36542.txt-368-9	1,2,3,4	-
102_tree_nn	nf_1851_758845.txt-1961-56,fic_1860_8118.txt-263-11	1,2,3,4	-
64_edge_nn	mag_2005_397478.txt-16-12,fic_2007_34283.txt-0-19	1,2,3,4	-
318_head_nn	fic_1982_13389.txt-1309-19,fic_2001_55631.txt-253-15	1,2,3,4	-
143_attack_nn	nf_1847_754437.txt-1509-47,fic_1839_7024.txt-2377-9	1,2,3,4	-
118_rally_nn	nf_1844_749098.txt-2203-7,mag_1960_491697.txt-79-31	1,2,3,4	-
82_tree_nn	nf_1848_747893.txt-2604-12,nf_1845_747928.txt-861-20	1,2,3,4	-
248_circle_vb	fic_1849_2605.txt-638-26,fic_1852_593.txt-1202-17	1,2,3,4	-
27_tree_nn	fic_1846_4464.txt-1775-9,nf_1856_769051.txt-3330-25	1,2,3,4	-
249_graft_nn	fic_1999_30775.txt-91-54,mag_1976_291145.txt-21-13	1,2,3,4	-
80_edge_nn	mag_1996_427510.txt-42-9,nf_1838_747585.txt-1283-14	1,2,3,4	-
30_maxim_nn	fic_1860_9168.txt-210-32,nf_1964_774160.txt-452-13	1,2,3,4	-
249_face_nn	fic_1848_7193.txt-930-16,news_2004_617201.txt-34-2	1,2,3,4	-
54_chairman_nn	fic_1857_9075.txt-6225-12,mag_2000_413105.txt-45-4	1,2,3,4	-
80_donkey_nn	fic_1855_604.txt-1880-34,mag_1966_211235.txt-8-4	1,2,3,4	-
47_maxim_nn	fic_1980_10671.txt-884-1,mag_1834_564662.txt-160-8	1,2,3,4	-
57_donkey_nn	fic_1966_781993.txt-2170-9,mag_1963_269445.txt-16-39	1,2,3,4	-
29_chairman_nn	mag_1842_586832.txt-236-41,news_2000_633263.txt-34-4	1,2,3,4	-
180_record_nn	fic_2005_31686.txt-155-7,nf_1836_748113.txt-721-23	1,2,3,4	-
58_relationship_nn	nf_1859_747415.txt-1418-9,nf_1977_774125.txt-8425-15	1,2,3,4	-
61_tree_nn	nf_1844_747892.txt-285-15,nf_1856_769051.txt-2612-27	1,2,3,4	-
25_graft_nn	fic_1967_10488.txt-2995-1,news_1961_721980.txt-15-36	1,2,3,4	-
1217_tip_vb	fic_1980_10663.txt-2337-9,nf_1851_747930.txt-2962-24	1,2,3,4	-
282_graft_nn	news_1971_729523.txt-1-42,fic_1974_13208.txt-891-12	1,2,3,4	-
365_graft_nn	news_1972_730268.txt-98-68,mag_1976_291145.txt-21-13	1,2,3,4	-
40_quilt_nn	fic_1848_7107.txt-277-17,fic_1853_9040.txt-377-25	1,2,3,4	-
9_afternoon_nn	fic_1974_782013.txt-1545-5,mag_1980_491790.txt-342-2	1,2,3,4	-
661_ball_nn	mag_2004_413914.txt-69-11,fic_1842_7206.txt-3298-50	1,2,3,4	-
419_record_nn	mag_2002_385360.txt-30-3,news_1978_733514.txt-23-7	1,2,3,4	-
303_bit_nn	nf_1849_748465.txt-1596-8,fic_1848_7193.txt-4338-5	1,2,3,4	-
208_ball_nn	mag_1960_491599.txt-362-7,fic_1854_9218.txt-3589-17	1,2,3,4	-
495_stab_nn	fic_1839_7297.txt-548-6,fic_1986_10741.txt-4153-6	1,2,3,4	-
