instanceID	label	comment	annotator
355_twist_nn	3	 	gold
66_quilt_nn	4	 	gold
69_maxim_nn	4	 	gold
54_lane_nn	4	 	gold
153_plane_nn	4	 	gold
233_graft_nn	4	 	gold
213_pick_vb	4	 	gold
240_grain_nn	4	 	gold
1423_tip_vb	1	 	gold
412_record_nn	4	 	gold
133_word_nn	4	 	gold
43_tree_nn	4	 	gold
119_edge_nn	4	 	gold
372_graft_nn	1	 	gold
107_face_nn	4	 	gold
102_tree_nn	4	 	gold
64_edge_nn	3	 	gold
318_head_nn	4	 	gold
143_attack_nn	3	 	gold
118_rally_nn	3	 	gold
82_tree_nn	4	 	gold
248_circle_vb	3	 	gold
27_tree_nn	4	 	gold
249_graft_nn	4	 	gold
80_edge_nn	4	 	gold
30_maxim_nn	4	 	gold
249_face_nn	2	 	gold
54_chairman_nn	4	 	gold
80_donkey_nn	4	 	gold
47_maxim_nn	4	 	gold
57_donkey_nn	4	 	gold
29_chairman_nn	4	 	gold
180_record_nn	4	 	gold
58_relationship_nn	4	 	gold
61_tree_nn	4	 	gold
25_graft_nn	1	 	gold
1217_tip_vb	1	 	gold
282_graft_nn	4	 	gold
365_graft_nn	4	 	gold
40_quilt_nn	4	 	gold
9_afternoon_nn	4	 	gold
661_ball_nn	1	 	gold
419_record_nn	4	 	gold
303_bit_nn	3	 	gold
208_ball_nn	1	 	gold
495_stab_nn	2	 	gold
