instanceID	label	comment	annotator
289_head_nn	4	" "	sachin
365_prop_nn	4	" "	sachin
130_edge_nn	4	" "	sachin
209_maxim_nn	4	" "	sachin
16_record_nn	4	" "	sachin
44_heel_nn	4	" "	sachin
923_bar_nn	1	" "	sachin
409_stab_nn	4	" "	sachin
93_risk_nn	4	" "	sachin
107_quilt_nn	4	" "	sachin
1277_tip_vb	1	" "	sachin
104_prop_nn	4	" "	sachin
404_edge_nn	4	" "	sachin
254_lass_nn	4	" "	sachin
949_prop_nn	4	" "	sachin
418_face_nn	4	" "	sachin
488_bar_nn	1	" "	sachin
136_twist_nn	4	" "	sachin
95_face_nn	4	" "	sachin
261_chef_nn	1	" "	sachin
108_afternoon_nn	4	" "	sachin
116_land_nn	4	" "	sachin
51_lane_nn	4	" "	sachin
249_plane_nn	1	" "	sachin
474_plane_nn	1	" "	sachin
512_bar_nn	1	" "	sachin
169_record_nn	4	" "	sachin
322_graft_nn	1	" "	sachin
1268_tip_vb	1	" "	sachin
282_ball_nn	1	" "	sachin
467_plane_nn	1	" "	sachin
68_bag_nn	4	" "	sachin
68_risk_nn	4	" "	sachin
775_bar_nn	4	" "	sachin
21_afternoon_nn	4	" "	sachin
175_record_nn	2	" "	sachin
181_attack_nn	3	" "	sachin
92_bag_nn	4	" "	sachin
53_tree_nn	4	" "	sachin
393_tip_vb	1	" "	sachin
233_ball_nn	1	" "	sachin
68_savage_nn	4	" "	sachin
289_graft_nn	4	" "	sachin
189_heel_nn	4	" "	sachin
72_bag_nn	4	" "	sachin
739_ball_nn	4	" "	sachin
237_attack_nn	3	" "	sachin
707_bit_nn	1	" "	sachin
310_grain_nn	4	" "	sachin
117_player_nn	4	" "	sachin
25_circle_vb	3	" "	sachin
248_rally_nn	2	" "	sachin
297_ball_nn	1	" "	sachin
221_ball_nn	1	" "	sachin
47_lass_nn	4	" "	sachin
249_quilt_nn	4	" "	sachin
103_multitude_nn	4	" "	sachin
336_head_nn	4	" "	sachin
1481_tip_vb	1	" "	sachin
455_ball_nn	4	" "	sachin
880_prop_nn	1	" "	sachin
1314_tip_vb	1	" "	sachin
16_tree_nn	4	" "	sachin
319_plane_nn	1	" "	sachin
284_rag_nn	4	" "	sachin
252_chairman_nn	4	" "	sachin
67_chef_nn	4	" "	sachin
82_maxim_nn	4	" "	sachin
45_quilt_nn	4	" "	sachin
256_heel_nn	4	" "	sachin
58_face_nn	2	" "	sachin
411_part_nn	2	" "	sachin
24_afternoon_nn	4	" "	sachin
407_tip_vb	1	" "	sachin
87_include_vb	4	" "	sachin
274_chef_nn	4	" "	sachin
343_graft_nn	1	" "	sachin
411_ball_nn	1	" "	sachin
74_afternoon_nn	4	" "	sachin
310_bit_nn	4	" "	sachin
28_afternoon_nn	4	" "	sachin
411_head_nn	4	" "	sachin
243_graft_nn	1	" "	sachin
616_plane_nn	1	" "	sachin
181_face_nn	4	" "	sachin
1258_tip_vb	1	" "	sachin
146_ounce_nn	4	" "	sachin
230_plane_nn	4	" "	sachin
315_multitude_nn	4	" "	sachin
325_attack_nn	4	" "	sachin
305_player_nn	4	" "	sachin
305_graft_nn	1	" "	sachin
140_land_nn	4	" "	sachin
46_chairman_nn	4	" "	sachin
450_part_nn	3	" "	sachin
35_maxim_nn	4	" "	sachin
364_graft_nn	4	" "	sachin
678_graft_nn	1	" "	sachin
429_face_nn	4	" "	sachin
238_graft_nn	4	" "	sachin
97_lass_nn	1	" "	sachin
96_stroke_vb	4	" "	sachin
24_lass_nn	1	" "	sachin
156_ounce_nn	4	" "	sachin
360_circle_vb	2	" "	sachin
318_prop_nn	1	" "	sachin
280_lane_nn	4	" "	sachin
82_savage_nn	4	" "	sachin
128_afternoon_nn	4	" "	sachin
88_multitude_nn	4	" "	sachin
15_donkey_nn	4	" "	sachin
52_savage_nn	4	" "	sachin
80_quilt_nn	4	" "	sachin
11_lass_nn	1	" "	sachin
23_chairman_nn	4	" "	sachin
139_stroke_vb	4	" "	sachin
244_rally_nn	4	" "	sachin
277_rag_nn	4	" "	sachin
145_maxim_nn	4	" "	sachin
140_twist_nn	2	" "	sachin
151_stroke_vb	4	" "	sachin
107_stroke_vb	4	" "	sachin
76_donkey_nn	4	" "	sachin
168_gas_nn	4	" "	sachin
307_graft_nn	1	" "	sachin
44_include_vb	4	" "	sachin
1540_tip_vb	1	" "	sachin
309_bit_nn	3	" "	sachin
143_chef_nn	4	" "	sachin
