instanceID	dataIDs	label_set	non_label
289_head_nn	fic_1994_54034.txt-137-10,fic_1967_10489.txt-3542-9	1,2,3,4	-
365_prop_nn	mag_1963_206955.txt-10-5,mag_1992_423112.txt-49-15	1,2,3,4	-
130_edge_nn	fic_1835_7271.txt-1540-6,mag_1851_525821.txt-323-0	1,2,3,4	-
209_maxim_nn	fic_1835_7133.txt-1935-29,nf_2008_774727.txt-197-3	1,2,3,4	-
16_record_nn	fic_2000_52612.txt-32-51,news_2000_621987.txt-16-1	1,2,3,4	-
44_heel_nn	fic_1848_7193.txt-10971-18,fic_1824_7278.txt-1568-20	1,2,3,4	-
923_bar_nn	fic_2009_36731.txt-175-10,mag_1854_555974.txt-331-28	1,2,3,4	-
409_stab_nn	mag_1853_504732.txt-881-9,nf_1824_747448.txt-2264-37	1,2,3,4	-
93_risk_nn	nf_1855_772309.txt-369-15,mag_1847_555447.txt-143-19	1,2,3,4	-
107_quilt_nn	nf_1838_747585.txt-1930-56,fic_2003_27792.txt-295-11	1,2,3,4	-
1277_tip_vb	news_1989_670385.txt-31-8,fic_1851_746.txt-9276-19	1,2,3,4	-
104_prop_nn	mag_1982_298040.txt-5-21,news_2000_627632.txt-352-3	1,2,3,4	-
404_edge_nn	fic_1975_10598.txt-6073-22,nf_1841_747926.txt-651-45	1,2,3,4	-
254_lass_nn	fic_1824_8753.txt-829-11,fic_1854_9826.txt-1896-19	1,2,3,4	-
949_prop_nn	fic_1837_8325.txt-2392-23,fic_1844_8787.txt-883-25	1,2,3,4	-
418_face_nn	fic_1848_7193.txt-10499-29,news_1994_614387.txt-73-21	1,2,3,4	-
488_bar_nn	fic_1827_9763.txt-5322-11,fic_1999_45403.txt-19-31	1,2,3,4	-
136_twist_nn	news_1997_610581.txt-53-4,fic_1994_41224.txt-249-6	1,2,3,4	-
95_face_nn	fic_1964_10448.txt-2729-11,fic_2009_36542.txt-368-9	1,2,3,4	-
261_chef_nn	fic_1827_7168.txt-915-10,fic_2005_50340.txt-357-17	1,2,3,4	-
108_afternoon_nn	fic_1850_7171.txt-326-12,fic_1854_5388.txt-1142-35	1,2,3,4	-
116_land_nn	nf_1859_747504.txt-1183-2,nf_1833_747716.txt-366-18	1,2,3,4	-
51_lane_nn	nf_1852_752548.txt-1489-7,fic_1835_7327.txt-1814-1	1,2,3,4	-
249_plane_nn	nf_2006_747052.txt-42-24,news_1974_731711.txt-14-22	1,2,3,4	-
474_plane_nn	fic_1846_7036.txt-323-21,nf_1836_748113.txt-1926-9	1,2,3,4	-
512_bar_nn	mag_1989_492439.txt-6-25,mag_1821_553342.txt-352-17	1,2,3,4	-
169_record_nn	news_1978_733754.txt-20-24,nf_1831_764842.txt-1011-24	1,2,3,4	-
322_graft_nn	news_1974_731379.txt-69-18,mag_1969_214820.txt-18-23	1,2,3,4	-
1268_tip_vb	fic_1975_10598.txt-5631-8,fic_1975_780110.txt-1409-15	1,2,3,4	-
282_ball_nn	fic_1835_7272.txt-979-1,mag_1835_554348.txt-508-19	1,2,3,4	-
467_plane_nn	news_1968_727235.txt-33-40,nf_1827_747521.txt-56-0	1,2,3,4	-
68_bag_nn	mag_1823_553451.txt-482-10,fic_1995_39408.txt-194-29	1,2,3,4	-
68_risk_nn	fic_1839_7297.txt-2833-27,mag_1847_555447.txt-143-19	1,2,3,4	-
