instanceID	dataIDs	label_set	non_label
134_maxim_nn	mag_1991_421950.txt-155-6,nf_2008_774727.txt-197-3	1,2,3,4	-
1097_stab_nn	fic_1835_7328.txt-554-4,fic_1835_7016.txt-2912-63	1,2,3,4	-
62_heel_nn	fic_1860_2807.txt-2613-2,fic_2001_55630.txt-380-33	1,2,3,4	-
620_graft_nn	nf_1850_747863.txt-878-32,mag_1976_291145.txt-21-13	1,2,3,4	-
1193_tip_vb	fic_1853_3465.txt-250-43,news_2004_635173.txt-48-0	1,2,3,4	-
19_afternoon_nn	news_1992_605805.txt-59-34,fic_1854_5388.txt-1142-35	1,2,3,4	-
327_tip_vb	nf_1854_750818.txt-3005-11,fic_1834_7323.txt-918-21	1,2,3,4	-
65_bag_nn	fic_1845_7316.txt-1628-3,mag_1835_565001.txt-70-21	1,2,3,4	-
92_contemplation_nn	nf_1816_747562.txt-521-3,fic_1968_10505.txt-4734-29	1,2,3,4	-
260_pick_vb	fic_1999_44827.txt-1943-2,fic_1855_2301.txt-3798-6	1,2,3,4	-
563_bar_nn	mag_1825_553587.txt-287-46,mag_1854_555974.txt-331-28	1,2,3,4	-
111_tree_nn	fic_1827_7168.txt-303-74,fic_1965_10458.txt-3606-5	1,2,3,4	-
73_donkey_nn	fic_1860_616.txt-1354-0,nf_1838_747585.txt-438-30	1,2,3,4	-
122_plane_nn	nf_1836_748113.txt-1704-26,nf_1827_748059.txt-1356-35	1,2,3,4	-
127_donkey_nn	fic_1977_10620.txt-714-2,nf_1838_747585.txt-438-30	1,2,3,4	-
12_chairman_nn	mag_1960_270439.txt-18-1,mag_1852_526185.txt-226-14	1,2,3,4	-
416_bar_nn	fic_1976_780158.txt-4351-7,fic_2005_32805.txt-98-8	1,2,3,4	-
182_rally_nn	fic_1976_10607.txt-37-5,nf_1852_771569.txt-1768-40	1,2,3,4	-
23_rally_nn	nf_2008_774923.txt-126-7,news_1994_614352.txt-35-24	1,2,3,4	-
253_rally_nn	mag_1992_61835.txt-30-7,news_1965_725095.txt-19-7	1,2,3,4	-
184_lass_nn	fic_1843_7116.txt-477-15,nf_1854_755030.txt-3112-24	1,2,3,4	-
39_afternoon_nn	news_1971_729575.txt-35-24,nf_1849_762578.txt-1803-0	1,2,3,4	-
53_maxim_nn	mag_1985_331153.txt-6-1,mag_1999_392561.txt-157-23	1,2,3,4	-
88_donkey_nn	fic_1984_10723.txt-684-6,fic_1855_602.txt-4503-54	1,2,3,4	-
52_face_nn	fic_1964_10448.txt-2729-11,news_2004_617201.txt-34-2	1,2,3,4	-
32_tree_nn	fic_1835_7134.txt-934-27,fic_1822_7243.txt-4765-23	1,2,3,4	-
444_prop_nn	fic_1835_7309.txt-3147-16,nf_1849_771289.txt-2110-32	1,2,3,4	-
124_maxim_nn	mag_1852_555751.txt-62-2,mag_1999_392561.txt-157-23	1,2,3,4	-
39_risk_nn	fic_1853_9158.txt-3400-12,nf_1996_773465.txt-459-22	1,2,3,4	-
108_lane_nn	fic_1856_2749.txt-2796-11,fic_1856_5515.txt-880-9	1,2,3,4	-
314_head_nn	fic_2001_29526.txt-262-16,fic_2001_55631.txt-253-15	1,2,3,4	-
123_quilt_nn	fic_1972_10558.txt-6068-5,fic_1858_1282.txt-1571-6	1,2,3,4	-
904_tip_vb	mag_2005_380198.txt-2-51,fic_1995_39274.txt-549-6	1,2,3,4	-
554_bar_nn	fic_1963_23799.txt-145-1,mag_1854_555974.txt-331-28	1,2,3,4	-
24_risk_nn	mag_2003_402334.txt-47-12,fic_1852_2477.txt-2210-8	1,2,3,4	-
35_rally_nn	news_2005_666459.txt-14-8,fic_1845_7162.txt-2288-2	1,2,3,4	-
993_tip_vb	fic_2006_51727.txt-63-8,fic_1975_780110.txt-1409-15	1,2,3,4	-
494_stab_nn	nf_1849_749269.txt-2196-8,fic_2002_31327.txt-372-6	1,2,3,4	-
265_heel_nn	fic_1835_7272.txt-1369-10,fic_1835_7339.txt-1086-45	1,2,3,4	-
370_twist_nn	mag_2005_419443.txt-4-33,fic_1994_41224.txt-249-6	1,2,3,4	-
87_quilt_nn	fic_1994_41330.txt-80-9,fic_1854_9230.txt-1114-18	1,2,3,4	-
279_lass_nn	fic_1815_8717.txt-3597-2,fic_1993_1040075.txt-3226-4	1,2,3,4	-
90_fiction_nn	mag_1825_553652.txt-42-2,nf_1845_771333.txt-565-18	1,2,3,4	-
65_maxim_nn	news_1987_669592.txt-13-3,mag_1826_553699.txt-30-27	1,2,3,4	-
356_twist_nn	nf_1974_774254.txt-611-20,fic_1994_41224.txt-249-6	1,2,3,4	-
17_afternoon_nn	fic_1998_43428.txt-168-2,fic_1850_2310.txt-1321-9	1,2,3,4	-
117_tree_nn	mag_1854_566452.txt-328-15,fic_1860_8118.txt-263-11	1,2,3,4	-
89_donkey_nn	fic_1984_10723.txt-2046-9,mag_1966_211235.txt-8-4	1,2,3,4	-
70_part_nn	news_2003_628548.txt-8-18,nf_1824_747685.txt-354-2	1,2,3,4	-
194_afternoon_nn	fic_1850_2310.txt-1321-9,fic_1971_14051.txt-667-2	1,2,3,4	-
219_graft_nn	nf_1850_747863.txt-644-17,nf_1850_747863.txt-325-14	1,2,3,4	-
190_rally_nn	mag_1999_399115.txt-107-38,nf_2003_746330.txt-363-17	1,2,3,4	-
317_ball_nn	fic_2006_27868.txt-198-8,nf_1838_747482.txt-1194-43	1,2,3,4	-
310_lane_nn	nf_1840_768793.txt-692-82,nf_1846_748061.txt-558-12	1,2,3,4	-
108_gas_nn	mag_1961_431634.txt-64-19,nf_1848_747893.txt-3400-18	1,2,3,4	-
5_chairman_nn	mag_1982_490865.txt-257-15,nf_1987_773764.txt-30-15	1,2,3,4	-
278_lane_nn	fic_1829_7072.txt-420-25,fic_1835_7327.txt-1814-1	1,2,3,4	-
157_pick_vb	fic_2007_52034.txt-55-1,news_2002_622956.txt-21-21	1,2,3,4	-
340_head_nn	nf_1847_754437.txt-2454-19,fic_2002_31370.txt-91-14	1,2,3,4	-
303_plane_nn	nf_1853_747976.txt-1786-34,fic_1986_782030.txt-3397-8	1,2,3,4	-
1013_prop_nn	mag_1964_488195.txt-130-6,fic_1812_8652.txt-1700-8	1,2,3,4	-
85_rag_nn	nf_1978_773805.txt-368-12,mag_1857_526498.txt-79-16	1,2,3,4	-
8_afternoon_nn	fic_2000_28733.txt-1-8,fic_1997_54614.txt-159-18	1,2,3,4	-
522_bar_nn	mag_1828_553911.txt-101-18,fic_1993_25016.txt-1330-5	1,2,3,4	-
99_circle_vb	fic_2005_780529.txt-1695-9,fic_1849_7230.txt-2441-6	1,2,3,4	-
284_graft_nn	nf_1839_747931.txt-542-12,mag_1851_566097.txt-140-28	1,2,3,4	-
97_chef_nn	mag_1970_490700.txt-1377-6,fic_2005_50340.txt-357-17	1,2,3,4	-
110_face_nn	fic_2007_33870.txt-122-8,fic_1996_54394.txt-2232-9	1,2,3,4	-
650_twist_nn	fic_1992_13392.txt-2137-10,fic_2009_36961.txt-181-4	1,2,3,4	-
53_gas_nn	mag_1980_480186.txt-111-27,nf_1843_752682.txt-209-1	1,2,3,4	-
126_land_nn	mag_1853_555822.txt-470-44,nf_1833_747716.txt-366-18	1,2,3,4	-
275_heel_nn	mag_1835_565208.txt-27-39,mag_2005_377098.txt-17-9	1,2,3,4	-
181_plane_nn	mag_1990_419996.txt-23-12,nf_1827_748059.txt-1356-35	1,2,3,4	-
144_lane_nn	fic_1854_9230.txt-132-29,fic_1853_2454.txt-325-10	1,2,3,4	-
133_lass_nn	fic_1999_30509.txt-376-11,fic_1837_7395.txt-1589-33	1,2,3,4	-
468_twist_nn	fic_1968_10498.txt-1883-3,fic_2009_36961.txt-181-4	1,2,3,4	-
152_quilt_nn	fic_1849_7192.txt-1467-17,fic_1853_3465.txt-747-10	1,2,3,4	-
167_lass_nn	fic_1987_782033.txt-1026-16,fic_1824_7211.txt-2276-17	1,2,3,4	-
346_head_nn	fic_1995_52933.txt-247-4,fic_1967_10489.txt-6620-6	1,2,3,4	-
24_chairman_nn	nf_1845_747580.txt-134-32,fic_1859_9192.txt-5103-20	1,2,3,4	-
